,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7
14,"['B1', 'D1', 'D7', 'D11', 'E6', 'E10', 'F3', 'F5', 'F7']","['A1', 'B1', 'B3', 'C3', 'D1', 'D2', 'D4', 'E1', 'E4', 'E5', 'F1', 'F2', 'F6', 'G2', 'G4', 'G6']",,,,,
15,"['A1', 'A7', 'B5', 'B8', 'D7']","['A3', 'A4', 'A7', 'A8', 'D1', 'D4', 'D6', 'D7', 'D9', 'E1', 'E9', 'F6', 'G3', 'G6', 'G8']",,,,,
16,"['A7', 'B2', 'B5', 'B8', 'C3', 'D1', 'D7', 'E2', 'E5', 'F6']","['C2', 'C8', 'D4', 'E2', 'F4', 'F6']",,,,,
17,"['C2', 'D5', 'F9', 'G2']","['B2', 'B5', 'D1', 'E5']","['D5', 'D7', 'F9', 'G4']","['A7', 'C9', 'D7', 'G7']","['B2', 'D1', 'F6', 'F9']","['B2', 'C6', 'C9', 'E5']",
18,"['C8', 'D3', 'E10', 'G4']",['C3'],"['B8', 'C6', 'E8']","['B5', 'C3', 'G1']","['A4', 'B2', 'B8']","['D1', 'E2']","['A4', 'D4', 'F3']"
19,"['A7', 'B8', 'C3', 'D4', 'D7', 'E2', 'F6', 'F9', 'G1', 'G7']","['A1', 'A7', 'B5', 'C3', 'C6', 'D7', 'E2', 'F3', 'F9', 'G4']",,,,,
20,"['A1', 'A7', 'C9', 'D1', 'D4', 'D7', 'E8', 'F9']","['B2', 'B8', 'C9', 'E5', 'E8', 'F3', 'F6', 'G4']","['B3', 'C2', 'D5', 'D7', 'D9', 'E10', 'E12', 'F7', 'G2']",,,,
21,"['C2', 'D1', 'D3', 'D7', 'E6', 'E12', 'F5', 'F7', 'G4']","['A1', 'B2', 'C3', 'C6', 'D1', 'D7', 'G7']","['B1', 'B5', 'C2', 'D1', 'D7', 'D9', 'E2', 'E6', 'G2']",,,,
22,"['A1', 'A4', 'B2', 'B5', 'C6', 'D4', 'E2', 'F6', 'F9', 'G1']",['G1'],"['A1', 'A7', 'B2', 'B8', 'C3', 'C6', 'D4', 'D7', 'E5', 'F9']",,,,
23,"['D1', 'E2', 'E4', 'E6']","['B2', 'B8', 'G1']",['B2'],"['D1', 'D7', 'E5']","['B2', 'D4', 'F9']",,
24,"['B1', 'C2', 'C6', 'C8', 'D7', 'E4', 'E6', 'E8', 'F1', 'F3', 'F5', 'F7', 'G4']","['C2', 'C4', 'C6', 'D1', 'D5', 'D7', 'D9', 'D11', 'E2', 'E8', 'E10', 'E12', 'F5']",,,,,
25,"['A7', 'B8', 'C6', 'D1', 'E8', 'F3', 'G7']","['A7', 'B8', 'C3', 'C9', 'D4', 'E5', 'G1']","['A1', 'B2', 'D4', 'D7', 'F6', 'F9', 'G7']",,,,
26,"['A1', 'A7', 'B2', 'C3', 'C6', 'D7', 'E2', 'E5', 'F9', 'G4']","['A1', 'A4', 'B2', 'B5', 'B8', 'C3', 'C9', 'D1', 'D4', 'F9']",,,,,
27,"['A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'B1', 'B4', 'B5', 'B7', 'B8', 'B9', 'C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C8', 'C9', 'D2', 'D3', 'D4', 'D5', 'D6', 'D7', 'E1', 'E3', 'E5', 'E6', 'E7', 'E8', 'F1', 'F2', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'G1', 'G2', 'G3', 'G4', 'G5']","['A2', 'B6', 'B9', 'C2', 'C5', 'C8', 'D4', 'D6', 'D9', 'E2', 'E5', 'E8', 'F4', 'F6', 'G2']",,,,,
28,"['A1', 'A4', 'A7', 'B8', 'C9', 'D1', 'E2', 'E8', 'F3', 'F6', 'F9', 'G4', 'G7']","['B2', 'B4', 'B6', 'D4', 'D8', 'F2', 'F4']",,,,,
29,"['A1', 'A7', 'B2', 'B5', 'B8', 'C6', 'C9', 'E2', 'F3', 'F6', 'F9', 'G1', 'G4', 'G7']","['B4', 'C2', 'C8', 'D6', 'F4', 'F6']",,,,,
30,"['A1', 'A7', 'B2', 'B8', 'C3', 'C9', 'D1', 'D4', 'E5', 'E8', 'F3', 'F6', 'F9', 'G4']","['B4', 'C8', 'D4', 'E8', 'F4', 'F6']",,,,,
31,"['A1', 'A4', 'A7', 'B8', 'C3', 'C6', 'D1', 'D4', 'E2', 'E8', 'F6']","['B4', 'C2', 'C8', 'D6', 'E2', 'E8']",,,,,
32,['C3'],['G7'],['D9'],['B6'],,,
